,case,num_malfunction,time_steps,runtime,done_percentage,reward
165,Test_16/Level_5,9,226,1.645,1,0.886
166,Test_16/Level_6,9,243,1.828,1,0.865
167,Test_16/Level_7,9,251,1.875,1,0.875
168,Test_16/Level_8,9,333,2.219,1,0.845
169,Test_16/Level_9,9,344,2.149,1,0.867
170,Test_17/Level_0,0,214,1.703,1,0.892
171,Test_17/Level_1,131,564,4.308,1,0.695
172,Test_17/Level_2,41,386,2.451,1,0.857
173,Test_17/Level_3,14,257,1.993,1,0.894
174,Test_17/Level_4,18,343,2.823,1,0.812
175,Test_17/Level_5,12,288,2.383,1,0.855
176,Test_17/Level_6,13,313,2.513,1,0.85
177,Test_17/Level_7,10,280,2.319,1,0.854
178,Test_17/Level_8,9,322,2.624,1,0.82
179,Test_17/Level_9,9,346,2.783,1,0.83
180,Test_18/Level_0,0,258,2.147,1,0.873
181,Test_18/Level_1,161,609,5.098,1,0.698
182,Test_18/Level_2,56,437,3.702,1,0.798
183,Test_18/Level_3,28,401,3.352,1,0.824
184,Test_18/Level_4,13,251,2.516,1,0.861
185,Test_18/Level_5,14,294,2.794,1,0.844
186,Test_18/Level_6,24,493,5.259,1,0.732
187,Test_18/Level_7,14,373,3.206,1,0.826
188,Test_18/Level_8,8,235,2.128,1,0.888
189,Test_18/Level_9,8,261,2.319,1,0.877
190,Test_19/Level_0,0,223,2.444,1,0.878
191,Test_19/Level_1,162,563,5.013,1,0.737
192,Test_19/Level_2,56,406,3.861,1,0.806
193,Test_19/Level_3,40,498,4.468,1,0.781
194,Test_19/Level_4,19,311,3.093,1,0.849
195,Test_19/Level_5,27,460,3.776,1,0.825
196,Test_19/Level_6,17,334,3.223,1,0.844
197,Test_19/Level_7,19,415,3.582,1,0.828
198,Test_19/Level_8,9,252,2.645,1,0.874
199,Test_19/Level_9,9,252,2.625,1,0.882
200,Test_20/Level_0,0,329,3.07,1,0.856
201,Test_20/Level_1,138,452,4.625,1,0.779
202,Test_20/Level_2,68,428,4.609,1,0.78
203,Test_20/Level_3,26,324,3.447,1,0.847
204,Test_20/Level_4,29,386,3.628,1,0.848
205,Test_20/Level_5,27,424,3.955,1,0.816
